provision,test scenario,answer,result
5.1-1 ,問題：當使用密碼且處於出廠預設值（例如「admin」）以外的任何狀態時，所有消費者物聯網裝置密碼應符合下列其中一項：1. 每個設備都是唯一的。2. 由使用者定義。請詳細說明密碼是如何建立的。 ,使用者密碼透過wizard由使用者設定且與MAC Address/SN無相關性，且無法反算或暴力計算。,Assignment of verdict: 根據描述的控制機制，該測試場景的評判結果應為PASS，因為密碼設定符合唯一性和安全性要求。
5.1-3,與裝置所使用的身份驗證方法無關，身份驗證資料在使用者和裝置之間傳輸時應進行加密。注意：傳輸通常可以在行動應用程式和裝置之間進行。注意：密碼需要始終受到保護，加密是保護密碼的標準方法。 如果密碼未加密，則它們可以簡單地讀取（即明文）並且很容易洩漏。（範例：傳輸過程中的密碼保護通常可以透過 TLS/SSL 隧道連線或 VPN 進行）。問題：1. 當使用者向裝置進行身份驗證時，身份驗證資料在傳輸過程中如何進行加密保護？ ,"本機驗證透過 HMAC-SHA256 質詢使用使用者設定的密碼完成。 透過 HTTPs TLS v1.2 或更新的連線保護通道，chiper 套件符合 FIPS 14--3
雲端管理通訊也透過 TLS v1.2 或更新的連線進行保護，chiper 套件符合 FIPS 14--3。 設備與雲端之間透過設備證書進行身份驗證。",Assignment of verdict: 該測試的判決為PASS，因為加密傳輸符合保護身份驗證資料的標準要求。
5.2-1,漏洞揭露政策明確規定了安全研究人員和其他人報告問題的流程。 此類政策可以根據需要進行更新，以進一步確保製造商與安全研究人員打交道的透明度和清晰度，反之亦然。        問題：1. 設備製造商如何組織漏洞揭露政策？ 製造商是否至少公開了以下資訊：• 報告問題的聯絡資訊； 和• 有關時間表的資訊：1) 初步確認收貨； 和2) 狀態更新至報告的問題已解決。,通過D-Link 網站（https://support.dlink.com/ReportVulnerabilities.aspx）漏洞通報資訊的聯繫方式向 D-Link 報告安全漏洞，D-Link 會及時分析安全漏洞，如果有必要會向報告者更新安全漏洞的最新狀態。 提供網站通報漏洞郵箱，以接收用戶發現的漏洞，並通過與網站告知使用者漏洞解決進度。,Assignment of verdict: 判定為 PASS，理由是 D-Link 提供了明確的聯絡資訊和漏洞報告狀態更新的流程。
5.3-13,消費者在購買設備時，希望能明確說明該期限的軟體更新支援。問題：1. 客戶如何獲知定義的支援期？ 用戶可以在哪裡找到這些資訊？,產品保固期間都根據當地國家法規要求訂定之，產品生命維護週期到時，會提前60天前公告在產品網頁上。,判決分配：PASS，理由是客戶透過產品網頁可獲得定義的支援期資訊，符合要求。
5.3-16,問題：1. 使用者如何驗證設備型號名稱（透過設備上的標籤或透過實體介面）？,此產品的型號標籤上有相關的生產編號資訊。,判決分配：根據提供的答案，判決為PASS，因為產品的型號標籤上有相關資訊。
5.4-1,安全、可信任的儲存機制可用於保護敏感的安全參數。注意：此規定適用於持久性儲存（在裝置電源關閉後保留資料的任何資料儲存裝置），但製造商也可以對記憶體中的敏感安全參數實施類似的方法。問題：當設備有持久性儲存時：1. 設備如何確保敏感安全參數安全儲存？,所有關鍵機敏資訊都以AES 128 加密演算法處理存儲在機器的flash中。,判決分配：PASS，理由是描述的特權控制機制足以促進職責分離、知情需要和特權最小化的原則。
5.4-3,設備和應用程式的逆向工程可以輕鬆發現憑證，例如軟體中硬編碼的使用者名稱和密碼。注意：此類憑證通常可以在原始程式碼中找到，這是眾所周知的不良做法。注意：也用於模糊或加密此硬編碼訊息的簡單混淆方法可能會被輕易破壞。這些憑證還可以是：- 允許在遠端服務中使用安全敏感功能的 API 金鑰，或者- 用於裝置通訊協定安全的私鑰。問題：1. 是否使用了軟體原始碼中硬編碼的關鍵安全參數？,D-Link 產品都會經過縝密的源碼安全檢查掃描，以確保沒有相關的 Hard-coded critical security parameters 在程式中,Assignment of verdict: 判定為PASS，因為D-Link產品經過詳細的源碼安全檢查，確認未存在相關的硬編碼安全參數。
5.4-4,為設備配置獨特的關鍵安全參數有助於保護軟體更新的完整性和真實性以及設備與相關服務的通訊。如果使用全球關鍵安全參數，其洩漏可能會導致對其他物聯網設備的大規模攻擊，例如建立殭屍網路。範例：在同一裝置類別的每個裝置上部署不同的對稱金鑰，用於產生和驗證軟體更新的訊息認證碼。範例：設備使用製造商的公鑰來驗證軟體更新。 這不是關鍵的安全參數，並且不需要每個設備都是唯一的。問題：對於設備中用於以下用途的任何關鍵安全參數：- 軟體更新的完整性和真實性檢查；- 保護與設備軟體中相關服務的通訊：1. 這些關鍵安全參數是：A) 每個設備都是唯一的？B) 採用可降低針對各類設備的自動攻擊風險的機制進行生產？,"D-Link Cloud 管理通訊使用每個設備唯一的設備證書，在設定過程中進行配置。
管理和設定通道始終透過 TLS v1.2 或更新的連線進行保護，chiper 套件符合 FIPS 14--3。
伺服器證書還可以透過設備的嵌入式證書頒發機構文件進行驗證。",Assignment of verdict: 該測試場景的判決為PASS，因為描述的特權控制機制符合職責分離、需要知道和最小化特權的原則。
5.5-1,安全控制的適當性和最佳實踐加密的使用取決於許多因素，包括使用情境。注意：由於安全性不斷發展，很難提供有關密碼學或其他安全措施的規範性建議，而不會面臨此類建議很快就會過時的風險。問題：1. 消費者物聯網設備使用什麼最佳實踐加密技術來安全通訊？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,根據提供的資訊，該測試組的判定結果為PASS，因為描述的特權控制機制足以促進職責分離、需要知道和特權最小化的原則。
5.5-5,注意：例外的協定包括 ARP、DHCP、DNS、ICMP 和 NTP。範例：與安全性相關的變更包括權限管理、網路金鑰配置和密碼變更。規定例外：設備所依賴的網路服務協定除外，製造商無法保證設備運作需要什麼配置。問題：當規定例外情況不適用時：當設備功能允許透過網路介面對組態進行與安全相關的變更時：A) 如何確保只有在驗證後才能存取設備功能？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,判決分配：PASS，因為所描述的特權控制機制足以支持安全性要求。
